N,datetime (local),datetime (exchange),timestamp,coin,symbol,status,filled,price,cost,remaining,fee,fee currency,fee rate
0,2022-05-01T20:20:14,2022-05-01T18:20:14.545Z,1651429214545,BTC,BTC/USDT,closed,0.000652,38326.39,24.98880628,0.0,0.0,BTC,N.A.
1,2022-05-01T20:20:17,2022-05-01T18:20:17.912Z,1651429217912,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
2,2022-05-01T20:20:21,2022-05-01T18:20:21.804Z,1651429221804,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
3,2022-05-01T20:21:11,2022-05-01T18:21:11.674Z,1651429271674,BTC,BTC/USDT,closed,0.000653,38252.67,24.97899351,0.0,0.0,BTC,N.A.
4,2022-05-01T20:21:14,2022-05-01T18:21:15.046Z,1651429275046,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
5,2022-05-01T20:21:18,2022-05-01T18:21:18.792Z,1651429278792,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
6,2022-05-01T20:22:11,2022-05-01T18:22:11.654Z,1651429331654,BTC,BTC/USDT,closed,0.000653,38255.12,24.98059336,0.0,0.0,BTC,N.A.
7,2022-05-01T20:22:14,2022-05-01T18:22:15.023Z,1651429335023,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
8,2022-05-01T20:22:18,2022-05-01T18:22:18.681Z,1651429338681,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
9,2022-05-01T20:23:11,2022-05-01T18:23:11.674Z,1651429391674,BTC,BTC/USDT,closed,0.000653,38240.61,24.97111833,0.0,0.0,BTC,N.A.
10,2022-05-01T20:23:15,2022-05-01T18:23:15.490Z,1651429395490,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
11,2022-05-01T20:23:19,2022-05-01T18:23:19.317Z,1651429399317,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
12,2022-05-01T20:24:11,2022-05-01T18:24:11.656Z,1651429451656,BTC,BTC/USDT,closed,0.000653,38255.15,24.98061295,0.0,0.0,BTC,N.A.
13,2022-05-01T20:24:14,2022-05-01T18:24:14.828Z,1651429454828,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
14,2022-05-01T20:24:18,2022-05-01T18:24:18.087Z,1651429458087,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
15,2022-05-01T20:25:11,2022-05-01T18:25:11.659Z,1651429511659,BTC,BTC/USDT,closed,0.000653,38231.33,24.96505849,0.0,0.0,BTC,N.A.
16,2022-05-01T20:25:14,2022-05-01T18:25:14.919Z,1651429514919,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
17,2022-05-01T20:25:17,2022-05-01T18:25:17.945Z,1651429517945,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
18,2022-05-01T20:26:11,2022-05-01T18:26:11.220Z,1651429571220,BTC,BTC/USDT,closed,0.000654,38225.29,24.99933966,0.0,0.0,BTC,N.A.
19,2022-05-01T20:26:14,2022-05-01T18:26:14.231Z,1651429574231,XRP,XRP/BUSD,closed,19.6,0.7634,14.96264,0.0,0.0,XRP,N.A.
20,2022-05-01T20:26:17,2022-05-01T18:26:17.262Z,1651429577262,LTC,LTC/BUSD,closed,0.2485,100.6,24.9991,0.0,0.0,LTC,N.A.
